Year;Number public libraries;Total collection;Total books;Total books adults;Adult book Fiction;Adult book Non fiction;Adult reference books ;Total books infants;Infant books Fiction;Infant books Non fiction;Infant reference books;Sheet music;Total audiovisual ;CDs;DVDs;Cd_ROMs and CD_Is;Other audiovisual;Loose periodicals;Other collections;Total loans;Books Total loans;adult books Total loans ;Loans adult books Fiction;Loans adult books Non fiction;Loans adult reference books;Infants books Total loans ;Loans infants books Fiction;Loans infants books non Fiction;Loans infants reference books;Loans Music ;Total loans audiovisual;Loans CDs;Loans DVDs;Loans  Cd_ROMs and CD_Is;Loans Other audiovisual;Loans Loose periodicals;Loans Other collection;Total users;infants users;adult users;Total libraries contribution rate;Libraries by contribution up to 15 euro;Libraries by contribution 15 to 20 euro;Libraries by contribution rate 20 to 25 euro;Libraries by contribution rate 25 euro plus;Libraries ordinary contribution rate;Total paid staff;Total salaried full timers;Total salaried part timers;Total salaried staff working years;Total Non salaried staff;Total Non salaried full timers;Total Non salaried part timers;Total Non salaried working years ;Volunteers total staff;Volunteers Total number of working years;Total income;User income;Mobile Services revenue;Total subsidies and contributions;Subsidies and municipalities contributions;Grants and provinces contribution;Other subsidies and contributions;Total benefits passed on;Recharged personnel costs;Recharged mobile services;Recharged media costs;Other recharged costs;Returned interest;Other income;Total expenses;Housing costs;Salaried staff costs;non salaried staff costs;Administration and automation costs;Media costs;paid interest;Depreciation;Other expenses
2005;341;35440;31269;19078;9452;9366;260;12191;8678;3498;15;591;2274;1292;594;263;125;841;465;132579;120101;66806;48452;18345;9;53295;44265;9025;4;444;6020;2312;2622;733;353;5135;880;4039;1976;2063;341;;;;;;;;;;;;;;;;492,8;71;1,7;395,7;380,1;9,9;5,7;4,9;;;;;2,1;17,4;485,2;101,1;226,3;5,8;41,5;75,5;;;35,1
2006;238;33883;31158;18791;9404;9145;243;12367;8762;3590;15;553;2172;1173;608;239;152;;;126591;120520;65768;47212;18547;9;54752;45366;9383;3;428;5644;1947;2788;570;339;;;4001;2003;1998;238;;;;;;9010;970;8030;5180;;;;;;;503,9;69,9;1,4;409;388,5;14,1;6,4;8,9;;;;;1,9;12,9;500,7;101,5;228,4;11,6;44,5;75,9;;;38,8
2007;202;33921;31211;18764;9454;9104;206;12447;8895;3540;12;544;2166;1126;682;227;130;;;124680;118673;63884;46715;17163;7;54788;45587;9200;1;409;5599;1736;3051;476;336;;;4011;2053;1958;202;;;;;;9080;940;8140;5220;;;;;;;518,5;69,8;1,6;424,7;401,9;16,4;6,5;8,2;;;;;2,2;12;513,7;105,9;232,9;12;45;75,5;;;42,4
2008;194;33711;31047;18382;9524;8858;;12665;9052;3613;;532;2132;1006;765;;361;;;112592;106789;57731;42554;15177;;49058;40676;8382;;370;5433;1544;3047;;841;;;3969;2052;1917;194;;;;;;9110;;;5210;;;;;;;544,6;69,7;1,4;445,8;422,9;15,7;7,2;10,4;;;;;3,5;13,7;541,7;113,5;243,6;13,4;46,9;79,5;;;44,8
2009;171;32088;29299;16781;8999;7783;;12517;8954;3563;;476;2313;973;834;;507;;;104851;98342;52251;39737;12514;;46091;38344;7747;;298;6211;1533;3346;;1332;;;4027;2079;1948;171;;;;;;9060;950;8110;5220;;;;;;;568,7;70,8;1,5;463,7;445,7;14,2;3,7;12,6;;;;;2,8;17,3;563,7;120;248,6;16,3;49,4;79,8;;;49,7
2010;166;31323;28532;16194;8791;7403;;12338;8982;3356;;494;2297;910;913;;475;;;100102;93398;49961;38258;11703;;43437;36269;7168;;255;6450;1420;3799;;1231;;;3996;2113;1883;166;;;;;;8970;920;8050;5190;;;;;;;574,2;71,8;1,5;473,6;457,8;13;2,7;11,9;;;;;1,8;13,7;567,2;123,2;254,3;16;50,5;77,4;;;45,7
2011;163;30667;27922;15552;8677;6875;;12370;9082;3288;;482;2263;818;972;;473;;;100025;93028;48832;37391;11441;;44196;37064;7132;;230;6768;1335;4194;;1239;;;4009;2189;1820;163;;;;;;8340;860;7480;5030;;;;;;;576,3;71,4;1,3;471,3;456,8;10,9;3,6;15;;;;;2;15,3;564,7;126,7;250,3;17,6;50,6;75,9;;;43,7
2012;162;29120;26487;14775;8205;6570;;11712;8663;3049;;444;2189;726;1009;;454;;;92332;85193;44397;34014;10383;;40796;34535;6261;;197;6942;1220;4644;;1078;;;3970;2230;1740;162;;;;;;7870;801;7069;4730;;;;;;;570,6;69,8;1,1;464,6;452,1;9;3,5;15,8;;;;;2,3;17;555,4;131,9;252,1;14,5;48,2;68,6;;;40,1
2013;160;27411;24837;13627;7614;6013;;11210;8394;2816;;419;2155;629;1097;;429;;;84397;77701;39674;30593;9081;;38027;32157;5870;;160;6536;966;4634;;936;;;3858;2238;1620;160;;;;;;6695;727;5968;4003;;;;;;;550,7;67,6;1;449,5;438,4;8,5;2,6;15,5;;;;;1,9;15,2;534,5;127,5;241,2;14,9;46,5;70;;;34,4
2014;157;26561;24243;13071;7106;5965;;11173;8388;2785;;380;1938;532;1001;;404;;;80396;73374;37520;28543;8977;;35855;30150;5705;;141;6880;832;5118;;930;;;3784;2257;1527;157;;;;;;6841;719;6122;4073;;;;;;;523,8;62,3;1,8;431,6;420,9;8,3;2,4;17,2;;;;;1,3;9,6;510,9;118,8;226;15,9;46;65,1;;;39
2015;156;25356;23231;11986;6678;5308;;11245;8541;2704;;365;1761;450;948;;363;;;78069;72728;35510;27401;8109;;37218;31704;5514;;123;5217;667;3793;;756;;;3784;2306;1478;156;;;;;;6813;740;6073;4143;;;;;;;520,3;62,8;1;428,9;415,3;10;3,6;18,1;;;;;1,1;8,4;517,7;122,2;227,7;17,3;46,2;63,1;;;41
2016;154;24859;22924;11400;6398;5002;;11524;8905;2619;;350;1585;343;911;;331;;;73468;68811;32941;25401;7541;;35870;30551;5319;;102;4554;564;3356;;634;;;3716;2306;1410;154;;;;;;6639;712;5927;4076;;;;;;;519,5;62,7;0,7;427;415,3;9,3;2,4;19,1;;;;;0,7;9,3;512,5;118,5;229,8;17,1;43,8;58,7;;;44,6
2017;149;25201;23342;11592;6395;5197;;11750;9076;2674;;329;1530;312;902;;316;;;71490;67380;31411;24233;7178;;35969;30727;5242;;93;4017;443;2848;;725;;;3704;2331;1373;149;;;;;;6682;704;5978;4193;;;;;16563;;507;58;1,2;413,9;403,3;8;2,6;17,4;;;;;0,2;16,3;509;115,6;232,7;19,8;43,1;56,7;;;41,1
2018;146;24417;22717;10865;5963;4902;;11852;9132;2720;;330;1369;266;814;;289;;;66608;63307;28803;22276;6527;;34504;29331;5174;;78;3222;337;2397;;488;;;3655;2301;1355;146;;;;;;6743;694;6049;4213;;;;;19776;;517;56,4;2;423;409,3;9,8;3,4;22;;;;;0,1;14,2;519;115,3;245;18,9;42,8;55;;;42
2019;145;24378;22798;10628;5870;4758;;12170;9407;2763;;321;1259;225;755;;279;;;63844;61099;26985;20670;6315;;34113;28880;5233;;73;2672;322;2005;;345;;;3620;2297;1323;145;;;;;;6908;667;6241;4251;;;;;22713;;523;54,7;1,2;430;415,9;8,2;5,7;25;;;;;0,1;12,8;529;115,5;253;18,9;42;54,8;;;45
2020;140;24818;23382;10848;6038;4810;;12533;9774;2759;;311;1125;146;735;;244;;;44958;43428;19593;15268;4325;;23835;20416;3419;;45;1485;103;1177;;205;;;3492;2230;1262;140;;;;;;6851;685;6166;4228;;;;;22627;;520;49,5;0,7;441,6;428,1;6,7;6,7;18,4;;;;;0;9,9;512,6;119,2;258,2;16;40,5;52;;;26,8
2021;139;23817;22607;10184;5607;4578;;12423;9681;2742;;231;978;129;639;;211;;;40772;39794;17041;13183;3857;;22753;19637;3116;;35;943;73;730;;141;;;3330;2090;1240;139;;;;;;7030;695;6335;4423;;;;;23081;;543;48;0,7;461,6;441,9;9,1;10,7;20;;;;;0;12,6;536,4;121,8;265,3;17,1;41;49,6;;;41,6
2022;137;23542;22458;9906;5459;4447;;12553;9799;2754;;229;855;126;548;;181;;;54336;53281;21661;16682;4979;;31620;27098;4522;;44;1012;80;795;;136;;;3442;2177;1265;137;;;;;;7535;741;6794;4626;;;;;25121;;588;50;0,8;492,5;458,9;8,4;25,3;27;;;;;0;17,7;589,6;125,7;288,9;24,5;43,4;50,9;;;56,1
